review_id,episode_cluster_id,window_type,source_class,reviewer_1,reviewer_2,reviewer_1_decision,reviewer_2_decision,adjudication_status,final_document_role,final_signal_family_id,final_is_update,final_parent_family_id,verified_issue_date,verified_publication_date,verified_effective_date,verified_expiry_date,verified_geographic_scope,historical_availability_status,prior_episode_overlap_status,review_action,evidence_id,document_title,evidence_pages,representative_relative_path
RV-BA4E9C2F3BF9,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-035-2024,True,UKMTO-INCIDENT-035-2024,2024-02-19,,,,Djibouti,not_applicable,not_applicable,Human coding complete,EV-32E6B9437C50,UKMTO Warning Incident 035 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219 UKMTO WARNING INCIDENT 035 UPDATE 001.pdf
RV-BE3A3E2BF743,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-037-2024,False,,2024-02-22,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-BB6593AFCCD4,UKMTO Warning Incident 037,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240222-UKMTO WARNING INCIDENT 037.pdf
RV-78AA9B2787CF,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-037-2024,True,UKMTO-INCIDENT-037-2024,2024-02-22,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-BFD2E66C748D,UKMTO Warning Incident 037 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240222-UKMTO WARNING INCIDENT 037 - Update 001.pdf
RV-1D92BEE291E7,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-037-2024,True,UKMTO-INCIDENT-037-2024,2024-02-22,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-E7613C1A421A,UKMTO Warning Incident 037 Update 002,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240222-WARNING INCIDENT 037 - Update 002.pdf
RV-E2D09DEDDE49,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-039-2024,False,,2024-02-24,,,,Djibouti,not_applicable,not_applicable,Human coding complete,EV-0A63B3DD3557,UKMTO Warning Incident 039,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240224-WARNING INCIDENT 039.pdf
RV-1566112BF8F2,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-039-2024,True,UKMTO-INCIDENT-039-2024,2024-02-24,,,,Djibouti,not_applicable,not_applicable,Human coding complete,EV-395608F79AF6,UKMTO Warning Incident 039 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240224-WARNING INCIDENT 039 - Update 001.pdf
RV-A0D99E65DDC0,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-042-2024,False,,2024-02-27,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-F5EB7CE87516,UKMTO Warning Incident 042,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240227 UKMTO WARNING INCIDENT 042.pdf
RV-696FE3998164,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-042-2024,True,UKMTO-INCIDENT-042-2024,2024-02-27,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-0871A65ADA59,UKMTO Warning Incident 042 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240227 UKMTO WARNING INCIDENT 042 UPDATE 001.pdf
RV-7F4B26B556E7,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-044-2024,False,,2024-03-04,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-6A91CF9DB271,UKMTO Warning Incident 044,PDF p. 1,E031/UKMTO_WARNING/onset/20240304 UKMTO WARNING INCIDENT 044.pdf
RV-CD299AC300CD,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-044-2024,True,UKMTO-INCIDENT-044-2024,2024-03-04,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-5DB1A58DE190,UKMTO Warning Incident 044 Update 001,PDF p. 1,E031/UKMTO_WARNING/onset/20240304 UKMTO WARNING INCIDENT 044 UPDATE 001.pdf
RV-C4D59CDD06CA,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-044-2024,True,UKMTO-INCIDENT-044-2024,2024-03-04,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-C8B0DD3FD7B6,UKMTO Warning Incident 044 Update 002,PDF p. 1,E031/UKMTO_WARNING/onset/20240304 UKMTO WARNING INCIDENT 044 UPDATE 002.pdf
RV-09249803DDFA,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-044-2024,True,UKMTO-INCIDENT-044-2024,2024-03-04,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-DBB62C501FB2,UKMTO Warning Incident 044 Update 003,PDF p. 1,E031/UKMTO_WARNING/onset/20240304 UKMTO WARNING INCIDENT 044 UPDATE 003.pdf
RV-2B5435A23E08,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-046-2024,False,,2024-03-06,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-F8D5E0BB68C6,UKMTO Warning Incident 046,PDF p. 1,E031/UKMTO_WARNING/onset/20240306 UKMTO WARNING INCIDENT 046.pdf
RV-FD1713D4576B,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-046-2024,True,UKMTO-INCIDENT-046-2024,2024-03-06,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-1E0F5DE68AD2,UKMTO Warning Incident 046 Update 001,PDF p. 1,E031/UKMTO_WARNING/onset/20240306 UKMTO WARNING INCIDENT 046 UPDATE 001.pdf
RV-0D5A47F3816A,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-046-2024,True,UKMTO-INCIDENT-046-2024,2024-03-06,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-179196643861,UKMTO Warning Incident 046 Update 002,PDF p. 1,E031/UKMTO_WARNING/onset/20240306 UKMTO WARNING INCIDENT 046 UPDATE 002.pdf
RV-1BB864F2EE4E,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-046-2024,True,UKMTO-INCIDENT-046-2024,2024-03-06,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-D989D4A80816,UKMTO Warning Incident 046 Update 003,PDF p. 1,E031/UKMTO_WARNING/onset/20240306 UKMTO WARNING INCIDENT 046 UPDATE 003.pdf
RV-5B9F0906B88A,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-047-2024,False,,2024-03-08,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-5B3BEA0AD922,UKMTO Warning Incident 047,PDF p. 1,E031/UKMTO_WARNING/onset/20240308 UKMTO WARNING INCIDENT 047.pdf
RV-E19BC562EF7E,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-047-2024,True,UKMTO-INCIDENT-047-2024,2024-03-08,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-C5D5E0F69657,UKMTO Warning Incident 047 Update 001,PDF p. 1,E031/UKMTO_WARNING/onset/20240308 UKMTO WARNING INCIDENT 047 UPDATE 001.pdf
RV-AAAD83E9821B,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-047-2024,True,UKMTO-INCIDENT-047-2024,2024-03-08,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-4CE32515DB8B,UKMTO Warning Incident 047 Update 002,PDF p. 1,E031/UKMTO_WARNING/onset/20240308 UKMTO WARNING INCIDENT 047 UPDATE 002.pdf
RV-CD149B75E37D,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-048-2024,False,,2024-03-11,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-9D3436D29292,UKMTO Warning Incident 048,PDF p. 1,E031/UKMTO_WARNING/onset/20240311 UKMTO WARNING INCIDENT 048.pdf
RV-FF1C6B0F8F5E,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-048-2024,True,UKMTO-INCIDENT-048-2024,2024-03-11,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-75086452A0DE,UKMTO Warning Incident 048 Update 001,PDF p. 1,E031/UKMTO_WARNING/onset/20240311 UKMTO WARNING INCIDENT 048 UPDATE 001.pdf
RV-38518EED79B0,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-049-2024,False,,2024-03-12,,,,Somalia / Mogadishu,not_applicable,not_applicable,Human coding complete,EV-D4FF3DCACC2E,UKMTO Warning Incident 049,PDF p. 1,E031/UKMTO_WARNING/onset/20240312-WARNING INCIDENT 049.pdf
RV-13B6B8160C87,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-049-2024,True,UKMTO-INCIDENT-049-2024,2024-03-12,,,,Somalia / Mogadishu,not_applicable,not_applicable,Human coding complete,EV-187F9EFFFF4A,UKMTO Warning Incident 049 Update 001,PDF p. 1,E031/UKMTO_WARNING/onset/20240312-WARNING INCIDENT 049 - UPDATE 001.pdf
RV-4E4FBB62D65B,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-049-2024,True,UKMTO-INCIDENT-049-2024,2024-03-12,,,,Somalia / Mogadishu,not_applicable,not_applicable,Human coding complete,EV-69BCEADCA9C1,UKMTO Warning Incident 049 Update 002,PDF p. 1,E031/UKMTO_WARNING/onset/20240312-WARNING INCIDENT 049 - UPDATE 002.pdf
RV-02856CEFE302,E032,onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-8FF51CBBB9A6,E032,pre_onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-C9ED55786169,E047,pre_onset,GARD,R1,R2,agree,agree,accepted,excluded,GARD-COMPANY-NEWS-2025,False,,,2025-10-22,,,Company/education news,not_applicable,not_applicable,Human coding complete,EV-9E17058A7575,Gard: Writing competition winner,PDF pp. 1-8,E047/GARD/pre_onset/automated_pending/E047_GARD_pre_onset__search-war-risk/20260914T004416250871Z_nb0h3b07/E047_GARD_pre_onset__search-war-risk__document-a18e6aad2d.pdf
RV-14EA66400638,E047,onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-9A2FDDB5C9DB,E047,pre_onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
